"date","Japan"
2023-02-02,0
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,0
2023-03-09,0
2023-03-16,0
2023-03-23,0
2023-03-30,0
2023-04-06,0
2023-04-13,1
2023-04-20,10
2023-04-27,15
2023-05-04,24
2023-05-11,40
2023-05-18,46
2023-05-25,49
2023-06-01,55
2023-06-08,56
2023-06-15,56
2023-06-22,59
2023-06-29,61
2023-07-06,63
2023-07-13,63
2023-07-20,63
2023-07-27,63
2023-08-03,64
2023-08-10,67
2023-08-17,67
2023-08-24,67
2023-08-31,69
2023-09-07,77
2023-09-14,80
2023-09-21,81
2023-09-28,83
2023-10-05,84
2023-10-12,87
2023-10-19,91
2023-10-26,93
2023-11-02,95
2023-11-09,98
2023-11-16,99
2023-11-23,100
2023-11-30,101
2023-12-07,102
2023-12-14,103
2023-12-21,103
2023-12-28,103
