"date","Thailand"
2023-02-02,0
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,1
2023-03-09,2
2023-03-16,3
2023-03-23,4
2023-03-30,4
2023-04-06,5
2023-04-13,6
2023-04-20,7
2023-04-27,9
2023-05-04,12
2023-05-11,19
2023-05-18,27
2023-05-25,33
2023-06-01,39
2023-06-08,49
2023-06-15,67
2023-06-22,87
2023-06-29,101
2023-07-06,104
2023-07-13,104
2023-07-20,104
2023-07-27,104
2023-08-03,104
2023-08-10,104
2023-08-17,104
2023-08-24,104
2023-08-31,104
2023-09-07,104
2023-09-14,104
2023-09-21,104
2023-09-28,104
2023-10-05,104
2023-10-12,104
2023-10-19,104
2023-10-26,104
2023-11-02,104
2023-11-09,104
2023-11-16,104
2023-11-23,104
2023-11-30,104
2023-12-07,104
2023-12-14,104
2023-12-21,104
2023-12-28,104
